STATIONNAME,LONGITUDE,LATITUDE,ELEVATION_METER,COUNTRY,CROP,YA,YW,YW-YA,YP,YP-YA,WPP,WPA,CROPPING_INTENSITY,YW_CV_TEMPORAL,YP_CV_TEMPORAL,YA_CV_TEMPORAL,CLIMATEZONE,AREA_IN_CLIMATEZONE_HA,,,
Darnall,31.388,-29.271,85,South Africa,sugarcane,49.2737177,83.59648369,34.32276599,124.3777447,75.10402701,100.0171839,58.95246148,0.7,0.17375754,0.025573883,0.164116031,7501,53734,,,
Gingindlovu - SASRI,31.6,-29.017,93,South Africa,sugarcane,47.13733209,79.07676166,31.93942958,127.164911,80.02757893,90.86670476,54.16526863,0.7,0.166194213,0.025982954,0.185352053,7601,18291,,,
Noodsberg - Jaagbaan,30.688,-29.359,1018,South Africa,sugarcane,49.06504761,86.29399573,37.22894812,123.6255128,74.56046521,83.16530823,47.2861382,0.7,0.173550809,0.054201721,0.168294627,6501,69826,,,
Powerscourt - Roseleigh,30.633,-29.983,630,South Africa,sugarcane,59.66227357,102.0140873,42.35181374,127.2656746,67.60340104,88.43198217,51.71886797,0.7,0.148860046,0.082923291,0.152378406,6501,36373,,,
Pandamatenga,25.64999962,-18.54999924,,Botswana,sorghum,0.887797396,3.365739154,2.477941758,5.805673123,4.917875727,9.471064872,2.498228872,1,0.531861267,0.097819023,0.527219769,7101,123,,,
Bobo-Dioulasso,-4.317,11.167,445,Burkina Faso,sorghum,1.071497182,7.683666461,6.612169279,8.003969244,6.932472062,17.82689982,2.485984134,1,0.108889626,0.027937703,0.115765079,10301,80024,,,
Bogandé,-0.137,12.974,281,Burkina Faso,sorghum,0.791287716,4.195073984,3.403786268,6.968046139,6.176758423,11.26149108,2.124176972,1,0.428158059,0.093316555,0.186478116,10101,248095,,,
Boromo,-2.933,11.75,243,Burkina Faso,sorghum,1.186588608,4.940109327,3.753520719,5.60992483,4.423336222,18.21432104,4.374985334,1,0.323652945,0.046539741,0.155647502,10201,182620,,,
Dori,-0.0333,14.0333,288,Burkina Faso,sorghum,0.597577488,4.208925453,3.611347966,6.936243168,6.33866568,15.47263053,2.196782951,1,0.352432636,0.162389049,0.210321305,10001,75050,,,
Dédougou,-3.483,12.467,299,Burkina Faso,sorghum,1.106134313,5.322216389,4.216082076,5.639493294,4.533358981,19.53195095,4.059391721,1,0.132829055,0.02850254,0.094910969,10201,49030,,,
Fada Ngourma,0.367,12.033,294,Burkina Faso,sorghum,1.096252442,5.470143222,4.37389078,7.575842798,6.479590357,14.21828462,2.849437135,1,0.230825785,0.027639649,0.152556715,10201,84720,,,
Gaoua,-3.183,10.333,339,Burkina Faso,sorghum,1.153214556,7.477496112,6.324281556,7.712818924,6.559604368,18.59691205,2.868103087,1,0.108255388,0.039394131,0.208755533,10301,76287,,,
Ouahigouya,-2.417,13.567,315,Burkina Faso,sorghum,0.875537807,6.032972193,5.157434386,6.926378572,6.050840765,16.06628003,2.331626128,1,0.222604375,0.060631749,0.250867225,10101,198072,,,
Pô,-1.15,11.15,322,Burkina Faso,sorghum,1.166551114,6.621873946,5.455322833,7.637511667,6.470960554,17.42846989,3.07030927,1,0.131415759,0.027680235,0.162729791,10201,92560,,,
Assosa,34.52,10.07,1575,Ethiopia,sorghum,2.34175,8.25951412,5.91776412,8.274593023,5.932843023,17.69144024,5.015904032,1,0.046945602,0.046731485,0.11108922,7501,19372,,,
Ayira,35.33,9.06,1700,Ethiopia,sorghum,2.826083333,9.741529623,6.91544629,9.734883721,6.908800388,17.12476205,4.96800877,1,0.038897942,0.03926672,0.221374945,7701,36683,,,
Bahir Dar,37.38,11.58,1790,Ethiopia,sorghum,2.092333333,6.344393842,4.252060508,7.290523256,5.198189922,15.52409858,5.119730858,1,0.377121629,0.247479513,0.152424256,6601,5438,,,
Butajira,38.22,8.08,1840,Ethiopia,sorghum,2.343166667,5.670180948,3.327014281,6.800136799,4.456970132,13.14470928,5.431968559,1,0.345446055,0.126761538,0.179584573,5701,627,,,
Gelemso,40.525,8.809,1810,Ethiopia,sorghum,2.4385,7.244257329,4.805757329,9.948643411,7.510143411,15.18087953,5.110057946,1,0.413497451,0.06924247,0.120148345,7401,29889,,,
Gondar,37.4715,12.59,1967,Ethiopia,sorghum,2.197166667,7.619461963,5.422295296,8.00372093,5.806554264,19.28506295,5.561087868,1,0.169616856,0.097837045,0.116715985,7501,9727,,,
Gore,35.53,8.02,1880,Ethiopia,sorghum,2.371458333,10.58667233,8.215213995,10.65918605,8.287727713,21.76690878,4.875877483,1,0.059843349,0.051178508,0.082637339,7801,8014,,,
Haramaya,42.03,9.4,1980,Ethiopia,sorghum,2.14,6.521075581,4.381075581,9.100258398,6.960258398,16.11480777,5.288343648,1,0.343510787,0.175859598,0.172449534,6301,12868,,,
Harar,42.1,9.31,1840,Ethiopia,sorghum,2.1405,7.956960594,5.816460594,10.77293282,8.632432817,18.79788191,5.056813561,1,0.317869752,0.044317612,0.172331949,7201,33344,,,
Jijiga,43.5,9.02,1650,Ethiopia,sorghum,2.071916667,0.903994876,0,8.075813953,6.003897287,3.773122964,8.647832597,1,1.215173877,0.093513266,0.191919991,7101,10794,,,
Kobo,39.63,12.15,1500,Ethiopia,sorghum,1.881666667,2.194289641,0.312622974,6.596918605,4.715251938,6.025618322,5.167141535,1,0.701075969,0.133019443,0.324841737,7201,4901,,,
Kombolacha,39.72,11.1,1840,Ethiopia,sorghum,2.28025,2.757619509,0.477369509,8.179825581,5.899575581,8.851373981,7.319119064,1,0.866325551,0.144653558,0.133724099,6501,4567,,,
Melkassa,39.33,8.4,1550,Ethiopia,sorghum,2.439333333,5.484077446,3.044744113,8.684418605,6.245085271,14.08868268,6.266686351,1,0.618575333,0.149170879,0.127291792,7201,4372,,,
Nekemte,36.54,9.09,2110,Ethiopia,sorghum,2.664333333,9.767780438,7.103447104,9.803430233,7.139096899,18.78140333,5.122956976,1,0.044503817,0.029430715,0.097831254,6801,43298,,,
Pawe,36.403,11.31,1100,Ethiopia,sorghum,2.064166667,5.831800172,3.767633506,7.497325581,5.433158915,10.67389384,3.778026546,1,0.437085399,0.047712066,0.169472773,8601,3949,,,
Shambu,37.1212,9.57117,2550,Ethiopia,sorghum,2.632833333,11.07730378,8.444470446,11.24110465,8.608271318,19.4117198,4.613742113,1,0.126997187,0.079732226,0.120114263,5801,1673,,,
Shire Endasilasse,38.334,14.1,1920,Ethiopia,sorghum,2.89,5.245406977,2.355406977,6.030813953,3.140813953,16.00436872,8.817738226,1,0.345719071,0.134769484,0.101236533,7201,9350,,,
Woliso,37.97,8.55,2060,Ethiopia,sorghum,2.173833333,9.481159751,7.307326417,11.47338501,9.29955168,17.70894184,4.060293159,1,0.418447346,0.059226484,0.262659305,6501,13905,,,
Wolkite,37.78,8.27,1880,Ethiopia,sorghum,2.053,7.621217341,5.568217341,9.782235142,7.729235142,13.1784943,3.550016695,1,0.436531663,0.113310628,0.154637346,6501,3601,,,
eth_rfso3,40.7171547,8.427406133,1323,Ethiopia,sorghum,2.438333333,3.816043887,1.377710554,6.398966408,3.960633075,11.22495983,7.172400141,1,0.491036164,0.162634601,0.120290561,7201,36924,,,
Bolgatanga,-0.867,10.8,180,Ghana,sorghum,1.190034811,6.704547309,5.514512498,6.910049036,5.720014224,12.60564752,2.23746044,1,0.177599853,0.095705839,0.094494395,10301,59077,,,
Wa,-2.5,10.067,323,Ghana,sorghum,0.916163652,7.90137755,6.985213898,8.060426547,7.144262894,15.44927208,1.791340997,1,0.091719987,0.057258057,0.250053478,10301,100602,,,
Yendi,-0.004,9.432,197,Ghana,sorghum,1.522064706,6.721710184,5.199645478,7.037504517,5.515439811,15.61367786,3.535562729,1,0.154419152,0.100498846,0.188200006,10401,18712,,,
Dagoretti,36.45,-1.241,1798,Kenya,sorghum,0.97195,2.709945578,1.737995578,4.846756763,3.874806763,12.24583481,4.392095264,1,0.463491878,0.123656024,0.121728833,7201,31,,,
Eldoret,35.3,0.483,2120,Kenya,sorghum,0.97195,8.618663643,7.646713643,10.21996976,9.248019761,17.8774319,2.016086328,1,0.269991778,0.08096035,0.121728833,6401,65,,,
