STATIONNAME,LONGITUDE,LATITUDE,ELEVATION_METER,COUNTRY,CROP,YA,YW,YW-YA,YP,YP-YA,WPP,WPA,CROPPING_INTENSITY,YW_CV_TEMPORAL,YP_CV_TEMPORAL,YA_CV_TEMPORAL,CLIMATEZONE,AREA_IN_CLIMATEZONE_HA,MIN_N_INPUT_TARGET_30_PERC,MIN_N_INPUT_TARGET_50_PERC,MIN_N_INPUT_TARGET_80_PERC,nitrogen,phosphorus,potassium,ph,bulk_density,cation_exchange
Kete-Krachie,-0.051,7.801,87.0,Ghana,Rainfed maize,1.5875,7.504111386,5.916611386,13.72589109,12.13839109,16.55884484,3.503035181,1.208536585,0.464994024,0.044567912,0.241486118,10501,30620,45.47946295,75.79910491,127.0257499,1.4,53.6,9.0,6.0,1.39,6.4
Koforidua,-0.262,6.08,172.0,Ghana,Rainfed maize,2.5625,10.15443835,7.591938348,15.01584823,12.45334823,24.28439405,6.128232565,1.208536585,0.298593028,0.028852068,0.11221027,9601,29501,61.5420506,102.5700843,171.8891258,1.3,72.7,7.2,5.9,1.38,8.0
Sefwi- Bekwai,-2.3333,6.2,172.0,Ghana,Rainfed maize,1.3,11.13352,9.83352,14.272,12.972,24.53843431,2.865218243,1.0,0.241564647,0.036817068,0.108785659,9701,57765,67.47587879,112.459798,188.4625179,1.5,65.7,6.4,5.5,1.38,9.0
Sunyani,-2.333,7.333,309.0,Ghana,Rainfed maize,1.825,9.563375,7.738375,15.5575,13.7325,21.52481746,4.107628517,1.9,0.219636746,0.093177988,0.151483385,9501,195851,57.95984848,96.59974747,161.8839085,1.0,98.5,8.0,6.2,1.4,7.2
Wa,-2.5,10.067,323.0,Ghana,Rainfed maize,1.5875,10.76965,9.18215,15.175,13.5875,21.32393999,3.143254862,1.0,0.42711011,0.052756208,0.514443348,10301,51654,65.27060606,108.7843434,182.3031132,0.7,65.7,8.0,5.8,1.49,6.4
Yendi,-0.004,9.432,197.0,Ghana,Rainfed maize,1.725,9.980421053,8.255421053,14.09473684,12.36973684,21.29387834,3.680399848,1.0,0.301794132,0.071828826,0.174601811,10401,45676,60.48740032,100.8123339,168.9434502,0.7,53.6,6.4,5.9,1.36,5.7
Dagoretti,36.45,-1.241,1798.0,Kenya,Rainfed maize,1.011878571,3.143593833,2.131715262,9.215789474,8.203910902,9.526964179,3.066595564,1.0,0.730004073,0.094959569,0.819006774,7201,3571,19.05208384,31.75347306,53.21314456,1.1,543.6,19.1,7.4,1.32,23.5
Eldoret,35.3,0.483,2120.0,Kenya,Rainfed maize,3.714356974,13.72209484,10.00773787,21.41578947,17.7014325,28.08164244,7.601262464,1.0,0.349930141,0.054571651,0.141711706,6401,3602,83.16421116,138.6070186,232.2805856,1.6,199.3,12.5,5.6,1.21,13.9
Kakamega,34.46,0.17,1530.0,Kenya,Rainfed maize,2.485714286,12.471675,9.985960714,15.02,12.53428571,20.93048952,4.171630259,1.95,0.151018519,0.037247938,0.091232804,7701,186598,75.58590909,125.9765152,211.1141197,1.2,80.5,7.2,5.3,1.29,11.2
Kericho,35.16,-0.22,2093.0,Kenya,Rainfed maize,2.414285714,13.07184211,10.65755639,14.98421053,12.56992481,19.42198286,3.587116137,1.0,0.196035866,0.066337642,0.233609188,7501,44039,79.22328549,132.0388091,221.2734407,1.2,147.4,13.9,6.4,1.26,13.9
Kisii,34.7886,-0.6831,1171.0,Kenya,Rainfed maize,1.785714286,12.7001,10.91438571,14.965,13.17928571,21.99878054,3.093167508,1.95,0.151919029,0.038388184,0.215505607,6801,47986,76.97030303,128.2838384,214.9807809,2.1,163.0,7.2,5.5,1.16,12.5
Kisumu,34.7349,-0.072,1146.0,Kenya,Rainfed maize,1.557142857,9.026175,7.469032143,19.155,17.59785714,15.02012416,2.591183868,1.95,0.418489329,0.042352028,0.512230134,7601,68531,54.70409091,91.17348485,152.7904623,1.1,199.3,15.4,6.1,1.26,13.9
