iter	MultiClass
0	1.763850547
1	1.739270311
2	1.719297999
3	1.698735472
4	1.676336031
5	1.656702703
6	1.638285277
7	1.619196703
8	1.599616771
9	1.584515775
10	1.569230831
11	1.557567342
12	1.542558208
13	1.531911598
14	1.523583388
15	1.510129994
16	1.498466553
17	1.487920765
18	1.479065404
19	1.470450887
20	1.460886768
21	1.451473443
22	1.441761092
23	1.433735979
24	1.425930415
25	1.418032881
26	1.409857745
27	1.404667227
28	1.398397995
29	1.391405789
30	1.385133509
31	1.377099583
32	1.370136845
33	1.363981652
34	1.360041012
35	1.354058921
36	1.348636904
37	1.345350677
38	1.340479229
39	1.334896878
40	1.329861894
41	1.325051915
42	1.320145449
43	1.315131586
44	1.310280237
45	1.305007157
46	1.300881611
47	1.297349989
48	1.293663833
49	1.290131467
50	1.287023238
51	1.284363846
52	1.279346002
53	1.274653834
54	1.270748992
55	1.267388618
56	1.265808671
57	1.262766907
58	1.259199226
59	1.256141583
60	1.25330383
61	1.249161998
62	1.246689106
63	1.243777793
64	1.240009902
65	1.238010576
66	1.236126464
67	1.232748503
68	1.230770249
69	1.227164129
70	1.223565464
71	1.220569613
72	1.21698842
73	1.21436636
74	1.211322502
75	1.208342863
76	1.205060602
77	1.203625846
78	1.200651214
79	1.198537977
80	1.195331426
81	1.193615147
82	1.190420045
83	1.18747275
84	1.184726392
85	1.183379522
86	1.180333785
87	1.177701899
88	1.175409181
89	1.173683681
90	1.171273642
91	1.168408864
92	1.16597426
93	1.16361168
94	1.16206495
95	1.161099017
96	1.158704147
97	1.156495945
98	1.153718161
99	1.151380328
100	1.15040633
101	1.147323028
102	1.145440079
103	1.1438603
104	1.142587216
105	1.140045418
106	1.137541288
107	1.134762827
108	1.133474952
109	1.131859719
110	1.130136374
111	1.128371584
112	1.126726229
113	1.125274112
114	1.123156524
115	1.121417233
116	1.120162031
117	1.118536492
118	1.115483561
119	1.1140578
120	1.11207418
121	1.110583765
122	1.108836846
123	1.107417654
124	1.105819657
125	1.104466543
126	1.102661738
127	1.101454076
128	1.099654986
129	1.097840702
130	1.096088396
131	1.094688745
132	1.092947259
133	1.090633109
134	1.089263993
135	1.088033959
136	1.085691347
137	1.084916796
138	1.083460902
139	1.082044028
140	1.080512401
141	1.079028767
142	1.077215926
143	1.076006157
144	1.074351216
145	1.073513571
146	1.072420438
147	1.070345691
148	1.069220082
149	1.067792308
150	1.066388995
151	1.065169403
152	1.064023374
153	1.062592435
154	1.061348832
155	1.060388949
156	1.05914287
157	1.057450086
158	1.056274408
159	1.055183573
160	1.054138162
161	1.052672725
162	1.051496712
163	1.050650033
164	1.04918028
165	1.048232904
166	1.047072555
167	1.045845164
168	1.044447784
169	1.043373076
170	1.042579041
171	1.041517215
172	1.04062071
173	1.039798735
174	1.038473233
175	1.037341027
176	1.036247171
177	1.03535529
178	1.03440851
179	1.033383797
180	1.032799418
181	1.031216742
182	1.030318737
183	1.029264222
184	1.02879229
185	1.027899296
186	1.027124868
187	1.026204083
188	1.025517725
189	1.024533029
190	1.023203451
191	1.021925674
192	1.021057211
193	1.019710331
194	1.018832842
195	1.017772163
196	1.016298101
197	1.015230463
198	1.014248697
199	1.013032804
200	1.01244209
201	1.011756111
202	1.01084554
203	1.010297927
204	1.009563141
205	1.009076031
206	1.007970894
207	1.007109634
208	1.006714169
209	1.005273648
210	1.004740822
211	1.003892911
212	1.003385749
213	1.002576963
214	1.001745749
215	1.00058588
216	0.9998240043
217	0.9987811068
218	0.997770619
219	0.9973163729
220	0.9965837198
221	0.9957830368
222	0.9951781378
223	0.9946761199
224	0.9943991481
225	0.9937613849
226	0.9930322564
227	0.992365535
228	0.9916408838
229	0.9911249641
230	0.9906181904
231	0.9900833046
232	0.9894866766
233	0.9884862408
234	0.9876519248
235	0.9868782716
236	0.9862767199
237	0.9855308378
238	0.9849170853
239	0.9841399342
240	0.983332494
241	0.9827699701
242	0.9820159458
243	0.9813804474
244	0.9807872966
245	0.9800959503
246	0.9792839199
247	0.9783020735
248	0.9775240636
249	0.976999448
250	0.9762229075
251	0.9755416159
252	0.9749971822
253	0.9741443199
254	0.973723475
255	0.9733788137
256	0.9728583453
257	0.9723421141
258	0.9717628984
259	0.9712647088
260	0.9705259283
261	0.9700256022
262	0.9696286968
263	0.9692726274
264	0.9687271094
265	0.9684388733
266	0.9680912168
267	0.9677189206
268	0.9672713205
269	0.9666782039
270	0.9662306465
271	0.9659491187
272	0.965432106
273	0.9647842004
274	0.9641463753
275	0.9637225184
276	0.9632931683
277	0.9624839867
278	0.9617802699
279	0.9612791839
280	0.9607928264
281	0.9601302089
282	0.9595182348
283	0.9591590776
284	0.9583862864
285	0.9580235002
286	0.9574894995
287	0.9571338771
288	0.9567007739
289	0.9561030013
290	0.9556330403
291	0.9548488088
292	0.9543481437
293	0.9539945457
294	0.9535092891
295	0.9530215442
296	0.9523983606
297	0.9520692785
298	0.9515615029
299	0.9512359939
300	0.950730739
301	0.9504731292
302	0.9497012083
303	0.9493112444
304	0.9488858747
305	0.9485485581
306	0.9481532782
307	0.9476931202
308	0.9472438471
309	0.9469787112
310	0.9467097065
311	0.9462455034
312	0.9460327727
313	0.9456729703
314	0.9453208378
315	0.9448456688
316	0.9442128712
317	0.943758435
318	0.943455656
319	0.9429815097
320	0.9426304436
321	0.9421036872
322	0.9416466643
323	0.9411734818
324	0.9408971317
325	0.9405869868
326	0.9401216901
327	0.9397587378
328	0.9392663425
329	0.938925888
330	0.9384704158
331	0.9379784748
332	0.9377131751
333	0.9373507388
334	0.9370023653
335	0.9365018267
336	0.9363006027
337	0.9359755382
338	0.9356476004
339	0.9352152607
340	0.934937237
341	0.9347636134
342	0.9342785981
343	0.933876946
344	0.9334831516
345	0.933076337
346	0.9326587738
347	0.9322667556
348	0.9318241413
349	0.9313593871
350	0.9309146839
351	0.9306355222
352	0.9303160045
353	0.9300614754
354	0.929808384
355	0.9294664318
356	0.9288820766
357	0.9284185906
358	0.9280920647
359	0.9277338814
360	0.9271660129
361	0.9267962935
362	0.9265970926
363	0.9262648569
364	0.9259096811
365	0.925606316
366	0.9253780219
367	0.9248729261
368	0.9244776558
369	0.9242769907
370	0.923969603
371	0.9237136407
372	0.9233523118
373	0.9229282152
374	0.9227070698
375	0.9223913644
376	0.9222457974
377	0.9220625225
378	0.9215838008
379	0.9213758973
380	0.920967376
381	0.9208347005
382	0.9205675059
383	0.9203080565
384	0.9199840596
385	0.9196253634
386	0.9194202716
387	0.9190528649
388	0.9189081117
389	0.918559453
390	0.9184000532
391	0.9177873604
392	0.9176916726
393	0.9174114846
394	0.9171639278
395	0.9167578165
396	0.9164406046
397	0.9161305597
398	0.9159581953
399	0.9156812396
400	0.9152329515
401	0.9148267227
402	0.9144448661
403	0.9139981524
404	0.9136080403
405	0.9132346081
406	0.9130016899
407	0.9127475877
408	0.9124734562
409	0.9121773818
410	0.9119188579
411	0.911715
412	0.9112767401
413	0.9109171003
414	0.9106871795
415	0.9105158809
416	0.909996014
417	0.9097381395
418	0.9093266883
419	0.9091941573
420	0.9087733788
421	0.9085752547
422	0.9083142491
423	0.9080446226
424	0.9076903709
425	0.9074681491
426	0.9072987443
427	0.906974533
428	0.9067411094
429	0.9064537833
430	0.9062076859
431	0.9059391113
432	0.9057666841
433	0.9054677827
434	0.9052755519
435	0.9050271135
436	0.904710525
437	0.9045227068
438	0.904229178
439	0.9039255657
440	0.9035894276
441	0.9033122127
442	0.9031529015
443	0.9028141914
444	0.9025244594
445	0.9022041312
446	0.9019318341
447	0.9017564793
448	0.9014770717
449	0.9012354515
450	0.9009025191
451	0.9006928908
452	0.900478867
453	0.9002272769
454	0.8999165228
455	0.8997060897
456	0.899483138
457	0.899283118
458	0.8989384766
459	0.8986881843
460	0.8983792126
461	0.8981393979
462	0.8979057237
463	0.8975569847
464	0.8973761036
465	0.8973122377
466	0.897090642
467	0.8967787951
468	0.8966033066
469	0.89645773
470	0.8962830086
471	0.8960891865
472	0.8959119388
473	0.8957004395
474	0.8955762281
475	0.8954386767
476	0.8952057149
477	0.895039177
478	0.8948247507
479	0.8946410913
480	0.8944814707
481	0.8943565735
482	0.8941395947
483	0.8938602596
484	0.8937051217
485	0.8936061275
486	0.8934671748
487	0.8931799163
488	0.8929747993
489	0.8928144562
490	0.8926712631
491	0.8925795963
492	0.8922655131
493	0.8920333882
494	0.8918840072
495	0.8917162306
496	0.8916036599
497	0.8914704928
498	0.8912243632
499	0.8910121131
500	0.8908298122
501	0.8905640709
502	0.8904684446
503	0.8902354574
504	0.8900503305
505	0.8899197114
506	0.8895812543
507	0.8893210321
508	0.8891508661
509	0.8889475575
510	0.8887025698
511	0.8886013706
512	0.8884126829
513	0.8882043429
514	0.8880814221
515	0.8877701691
516	0.8875183576
517	0.8873462048
518	0.8872326538
519	0.8871144668
520	0.8869697178
521	0.8867595774
522	0.8866059097
523	0.8863698107
524	0.8860976337
525	0.8859977294
526	0.8858067844
527	0.8856551325
528	0.8854730662
529	0.8852556126
530	0.8851240533
531	0.885064741
532	0.8847408913
533	0.8846087214
534	0.8844653041
535	0.8842967218
536	0.8840521074
537	0.8839157492
538	0.8838081076
539	0.8836632723
540	0.8834822744
541	0.8832087112
542	0.8830482169
